Year,Month,State,Crop,Wholesale_Price[Rs. Per Quintal],Temperature (Celsis),Rainfall in mm
2022,1,Andhra Pradesh,Rice,3625,0.5,21.7
2022,2,Andhra Pradesh,Rice,3700,-0.2,0.9
2022,3,Andhra Pradesh,Rice,3700,0,109.7
2022,4,Andhra Pradesh,Rice,3600,0.2,6.7
2022,5,Andhra Pradesh,Rice,3250,-1.3,53.5
2022,6,Andhra Pradesh,Rice,3200,-0.7,105.7
2022,7,Andhra Pradesh,Rice,3200,-0.7,157
2022,8,Andhra Pradesh,Rice,3200,-0.1,159.7
2022,9,Andhra Pradesh,Rice,3200,-0.1,153.3
2022,10,Andhra Pradesh,Rice,3225,-0.2,133.9
2022,11,Andhra Pradesh,Rice,3200,0.2,61.5
2022,12,Andhra Pradesh,Rice,3200,1.4,82
2022,1,Andhra Pradesh,Jowar,2800,0.5,21.7
2022,2,Andhra Pradesh,Jowar,2563,-0.2,0.9
2022,3,Andhra Pradesh,Jowar,2300,0,109.7
2022,4,Andhra Pradesh,Jowar,2270,0.2,6.7
2022,5,Andhra Pradesh,Jowar,2388,-1.3,53.5
2022,6,Andhra Pradesh,Jowar,2763,-0.7,105.7
2022,7,Andhra Pradesh,Jowar,2880,-0.7,157
2022,8,Andhra Pradesh,Jowar,3200,-0.1,159.7
2022,9,Andhra Pradesh,Jowar,3480,-0.1,153.3
2022,10,Andhra Pradesh,Jowar,3725,-0.2,133.9
2022,11,Andhra Pradesh,Jowar,3825,0.2,61.5
2022,12,Andhra Pradesh,Jowar,3880,1.4,82
2022,1,Andhra Pradesh,Bajra,2400,0.5,21.7
2022,2,Andhra Pradesh,Bajra,2475,-0.2,0.9
2022,3,Andhra Pradesh,Bajra,2613,0,109.7
2022,4,Andhra Pradesh,Bajra,2868,0.2,6.7
2022,5,Andhra Pradesh,Bajra,3163,-1.3,53.5
2022,6,Andhra Pradesh,Bajra,3125,-0.7,105.7
2022,7,Andhra Pradesh,Bajra,3110,-0.7,157
2022,8,Andhra Pradesh,Bajra,2938,-0.1,159.7
2022,9,Andhra Pradesh,Bajra,2900,-0.1,153.3
2022,10,Andhra Pradesh,Bajra,2800,-0.2,133.9
2022,11,Andhra Pradesh,Bajra,2800,0.2,61.5
2022,12,Andhra Pradesh,Bajra,2880,1.4,82
2022,1,Andhra Pradesh,Maize,2288,0.5,21.7
2022,2,Andhra Pradesh,Maize,2488,-0.2,0.9
2022,3,Andhra Pradesh,Maize,2300,0,109.7
2022,4,Andhra Pradesh,Maize,2380,0.2,6.7
2022,5,Andhra Pradesh,Maize,2413,-1.3,53.5
2022,6,Andhra Pradesh,Maize,2200,-0.7,105.7
2022,7,Andhra Pradesh,Maize,2160,-0.7,157
2022,8,Andhra Pradesh,Maize,2400,-0.1,159.7
2022,9,Andhra Pradesh,Maize,2340,-0.1,153.3
2022,10,Andhra Pradesh,Maize,2325,-0.2,133.9
2022,11,Andhra Pradesh,Maize,2300,0.2,61.5
2022,12,Andhra Pradesh,Maize,2360,1.4,82
2022,1,Andhra Pradesh,Wheat,3425,0.5,21.7
2022,2,Andhra Pradesh,Wheat,3350,-0.2,0.9
2022,3,Andhra Pradesh,Wheat,3500,0,109.7
2022,4,Andhra Pradesh,Wheat,3560,0.2,6.7
2022,5,Andhra Pradesh,Wheat,3600,-1.3,53.5
2022,6,Andhra Pradesh,Wheat,2963,-0.7,105.7
2022,7,Andhra Pradesh,Wheat,2840,-0.7,157
2022,8,Andhra Pradesh,Wheat,3250,-0.1,159.7
2022,9,Andhra Pradesh,Wheat,3120,-0.1,153.3
2022,10,Andhra Pradesh,Wheat,3000,-0.2,133.9
2022,11,Andhra Pradesh,Wheat,3050,0.2,61.5
2022,12,Andhra Pradesh,Wheat,3040,1.4,82
2022,1,Andhra Pradesh,Arhar(Tur Dal),6488,0.5,21.7
2022,2,Andhra Pradesh,Arhar(Tur Dal),6638,-0.2,0.9
2022,3,Andhra Pradesh,Arhar(Tur Dal),6600,0,109.7
2022,4,Andhra Pradesh,Arhar(Tur Dal),6960,0.2,6.7
2022,5,Andhra Pradesh,Arhar(Tur Dal),7100,-1.3,53.5
2022,6,Andhra Pradesh,Arhar(Tur Dal),7063,-0.7,105.7
2022,7,Andhra Pradesh,Arhar(Tur Dal),6880,-0.7,157
2022,8,Andhra Pradesh,Arhar(Tur Dal),7100,-0.1,159.7
2022,9,Andhra Pradesh,Arhar(Tur Dal),7090,-0.1,153.3
2022,10,Andhra Pradesh,Arhar(Tur Dal),6650,-0.2,133.9
2022,11,Andhra Pradesh,Arhar(Tur Dal),6725,0.2,61.5
2022,12,Andhra Pradesh,Arhar(Tur Dal),6280,1.4,82
2022,1,Andhra Pradesh,Onion,3075,0.5,21.7
2022,2,Andhra Pradesh,Onion,2800,-0.2,0.9
2022,3,Andhra Pradesh,Onion,2300,0,109.7
2022,4,Andhra Pradesh,Onion,1910,0.2,6.7
2022,5,Andhra Pradesh,Onion,1975,-1.3,53.5
2022,6,Andhra Pradesh,Onion,1713,-0.7,105.7
2022,7,Andhra Pradesh,Onion,1770,-0.7,157
2022,8,Andhra Pradesh,Onion,2113,-0.1,159.7
2022,9,Andhra Pradesh,Onion,2120,-0.1,153.3
2022,10,Andhra Pradesh,Onion,2200,-0.2,133.9
2022,11,Andhra Pradesh,Onion,2175,0.2,61.5
2022,12,Andhra Pradesh,Onion,2230,1.4,82
2022,1,Andhra Pradesh,Cotton,8696,0.5,21.7
2022,2,Andhra Pradesh,Cotton,9143,-0.2,0.9
2022,3,Andhra Pradesh,Cotton,8774,0,109.7
2022,4,Andhra Pradesh,Cotton,9960,0.2,6.7
2022,5,Andhra Pradesh,Cotton,11754,-1.3,53.5
2022,6,Andhra Pradesh,Cotton,10603,-0.7,105.7
2022,7,Andhra Pradesh,Cotton,9962,-0.7,157
2022,8,Andhra Pradesh,Cotton,10352,-0.1,159.7
2022,9,Andhra Pradesh,Cotton,9367,-0.1,153.3
2022,10,Andhra Pradesh,Cotton,8286,-0.2,133.9
2022,11,Andhra Pradesh,Cotton,8283,0.2,61.5
2022,12,Andhra Pradesh,Cotton,8071,1.4,82
2022,1,Andhra Pradesh,Tomato,3150,0.5,21.7
2022,2,Andhra Pradesh,Tomato,1625,-0.2,0.9
2022,3,Andhra Pradesh,Tomato,788,0,109.7
2022,4,Andhra Pradesh,Tomato,1042,0.2,6.7
2022,5,Andhra Pradesh,Tomato,3050,-1.3,53.5
2022,6,Andhra Pradesh,Tomato,4750,-0.7,105.7
2022,7,Andhra Pradesh,Tomato,1830,-0.7,157
2022,8,Andhra Pradesh,Tomato,1263,-0.1,159.7
2022,9,Andhra Pradesh,Tomato,2170,-0.1,153.3
2022,10,Andhra Pradesh,Tomato,2875,-0.2,133.9
2022,11,Andhra Pradesh,Tomato,1640,0.2,61.5
2022,12,Andhra Pradesh,Tomato,1120,1.4,82
2022,1,Andhra Pradesh,Groundnut,5363,0.5,21.7
2022,2,Andhra Pradesh,Groundnut,5511,-0.2,0.9
2022,3,Andhra Pradesh,Groundnut,5369,0,109.7
2022,4,Andhra Pradesh,Groundnut,5537,0.2,6.7
2022,5,Andhra Pradesh,Groundnut,6600,-1.3,53.5
2022,6,Andhra Pradesh,Groundnut,5530,-0.7,105.7
2022,7,Andhra Pradesh,Groundnut,5404,-0.7,157
2022,8,Andhra Pradesh,Groundnut,6428,-0.1,159.7
2022,9,Andhra Pradesh,Groundnut,7036,-0.1,153.3
2022,10,Andhra Pradesh,Groundnut,5564,-0.2,133.9
2022,11,Andhra Pradesh,Groundnut,5470,0.2,61.5
2022,12,Andhra Pradesh,Groundnut,6091,1.4,82
2022,1,Andhra Pradesh,Ragi,3377,0.5,21.7
2022,2,Andhra Pradesh,Ragi,3377,-0.2,0.9
2022,3,Andhra Pradesh,Ragi,3377,0,109.7
2022,4,Andhra Pradesh,Ragi,3312,0.2,6.7
2022,5,Andhra Pradesh,Ragi,3050,-1.3,53.5
2022,6,Andhra Pradesh,Ragi,3200,-0.7,105.7
2022,7,Andhra Pradesh,Ragi,3300,-0.7,157
2022,8,Andhra Pradesh,Ragi,3200,-0.1,159.7
2022,9,Andhra Pradesh,Ragi,3260,-0.1,153.3
2022,10,Andhra Pradesh,Ragi,3300,-0.2,133.9
2022,11,Andhra Pradesh,Ragi,3325,0.2,61.5
2022,12,Andhra Pradesh,Ragi,3380,1.4,82
2022,1,Andhra Pradesh,Turmeric,6888,0.5,21.7
2022,2,Andhra Pradesh,Turmeric,6953,-0.2,0.9
2022,3,Andhra Pradesh,Turmeric,6167,0,109.7
2022,4,Andhra Pradesh,Turmeric,5915,0.2,6.7
2022,5,Andhra Pradesh,Turmeric,6212,-1.3,53.5
2022,6,Andhra Pradesh,Turmeric,6274,-0.7,105.7
2022,7,Andhra Pradesh,Turmeric,5627,-0.7,157
2022,8,Andhra Pradesh,Turmeric,4932,-0.1,159.7
2022,9,Andhra Pradesh,Turmeric,4959,-0.1,153.3
2022,10,Andhra Pradesh,Turmeric,5392,-0.2,133.9
2022,11,Andhra Pradesh,Turmeric,5594,0.2,61.5
2022,12,Andhra Pradesh,Turmeric,5997,1.4,82
2022,1,Assam,Rice,2500,0.7,23.5
2022,2,Assam,Rice,2300,-0.8,52.3
2022,3,Assam,Rice,2350,2.3,7.5
2022,4,Assam,Rice,2350,0.2,318.1
2022,5,Assam,Rice,2450,0.4,398.5
2022,6,Assam,Rice,2450,0.2,673.7
2022,7,Assam,Rice,2450,1,273.9
2022,8,Assam,Rice,2450,1.5,207
2022,9,Assam,Rice,2730,1.3,185.9
2022,10,Assam,Rice,2800,0.9,193.2
2022,11,Assam,Rice,2800,1,0.1
2022,12,Assam,Rice,2800,0.8,5.3
2022,1,Assam,Maize,1700,0.7,23.5
2022,2,Assam,Maize,1850,-0.8,52.3
2022,3,Assam,Maize,2200,2.3,7.5
2022,4,Assam,Maize,2180,0.2,318.1
2022,5,Assam,Maize,2150,0.4,398.5
2022,6,Assam,Maize,2150,0.2,673.7
2022,7,Assam,Maize,2150,1,273.9
2022,8,Assam,Maize,2150,1.5,207
2022,9,Assam,Maize,2150,1.3,185.9
2022,10,Assam,Maize,2150,0.9,193.2
2022,11,Assam,Maize,2150,1,0.1
2022,12,Assam,Maize,2220,0.8,5.3
2022,1,Assam,Potato,1175,0.7,23.5
2022,2,Assam,Potato,1250,-0.8,52.3
